Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
L2 3,,360480.848,3104727.779,-16.753,,-82.41970823,28.06059262,-16.753,Global,0.011,0.01,0.015,0.015,2.224,m,FIX,2024-01-24 10:12:13.0 UTC-05:00,2024-01-24 10:12:18.0 UTC-05:00,6,1.9,360481.734,3104721.03,-14.399,-82.41969841,28.06053181,-14.399,6.812,WGS 84 / UTM zone 17N
L2 4,,360479.731,3104728.185,-16.852,,-82.41971963,28.06059618,-16.852,Global,0.011,0.01,0.015,0.015,2.134,m,FIX,2024-01-24 10:13:03.0 UTC-05:00,2024-01-24 10:13:08.0 UTC-05:00,6,1.9,360481.734,3104721.03,-14.399,-82.41969841,28.06053181,-14.399,7.436,WGS 84 / UTM zone 17N
L2 5,,360478.577,3104728.57,-16.966,,-82.41973142,28.06059953,-16.966,Global,0.011,0.012,0.016,0.016,2.134,m,FIX,2024-01-24 10:13:17.0 UTC-05:00,2024-01-24 10:13:22.0 UTC-05:00,6,2.2,360481.734,3104721.03,-14.399,-82.41969841,28.06053181,-14.399,8.192,WGS 84 / UTM zone 17N
L2 6,,360477.861,3104728.803,-17.002,,-82.41973874,28.06060155,-17.002,Global,0.011,0.011,0.015,0.015,2.134,m,FIX,2024-01-24 10:13:35.0 UTC-05:00,2024-01-24 10:13:40.0 UTC-05:00,6,1.9,360481.734,3104721.03,-14.399,-82.41969841,28.06053181,-14.399,8.702,WGS 84 / UTM zone 17N
L2 7,,360477.596,3104728.884,-17.03,,-82.41974144,28.06060225,-17.03,Global,0.01,0.011,0.017,0.015,2.134,m,FIX,2024-01-24 10:13:51.0 UTC-05:00,2024-01-24 10:13:56.0 UTC-05:00,6,1.9,360481.734,3104721.03,-14.399,-82.41969841,28.06053181,-14.399,8.893,WGS 84 / UTM zone 17N
L2 8,,360477.502,3104728.923,-17.067,,-82.4197424,28.0606026,-17.067,Global,0.01,0.011,0.018,0.015,2.134,m,FIX,2024-01-24 10:14:17.0 UTC-05:00,2024-01-24 10:14:22.0 UTC-05:00,6,1.9,360481.734,3104721.03,-14.399,-82.41969841,28.06053181,-14.399,8.977,WGS 84 / UTM zone 17N
L2 9,,360477.39,3104728.985,-17.101,,-82.41974355,28.06060314,-17.101,Global,0.01,0.01,0.015,0.014,2.134,m,FIX,2024-01-24 10:14:32.0 UTC-05:00,2024-01-24 10:14:37.0 UTC-05:00,6,1.9,360481.734,3104721.03,-14.399,-82.41969841,28.06053181,-14.399,9.085,WGS 84 / UTM zone 17N
L2 10,,360477.231,3104729.009,-17.136,,-82.41974517,28.06060335,-17.136,Global,0.01,0.01,0.013,0.014,2.134,m,FIX,2024-01-24 10:14:59.0 UTC-05:00,2024-01-24 10:15:04.0 UTC-05:00,6,1.9,360481.734,3104721.03,-14.399,-82.41969841,28.06053181,-14.399,9.186,WGS 84 / UTM zone 17N
L2 11,,360477.091,3104729.047,-17.151,,-82.41974659,28.06060368,-17.151,Global,0.01,0.01,0.016,0.014,2.134,m,FIX,2024-01-24 10:15:15.0 UTC-05:00,2024-01-24 10:15:20.0 UTC-05:00,6,1.9,360481.734,3104721.03,-14.399,-82.41969841,28.06053181,-14.399,9.285,WGS 84 / UTM zone 17N
L2 12,,360476.983,3104729.082,-17.137,,-82.4197477,28.06060398,-17.137,Global,0.01,0.01,0.02,0.014,2.134,m,FIX,2024-01-24 10:15:29.0 UTC-05:00,2024-01-24 10:15:34.0 UTC-05:00,6,2.2,360481.734,3104721.03,-14.399,-82.41969841,28.06053181,-14.399,9.371,WGS 84 / UTM zone 17N
L2 13,,360476.851,3104729.13,-17.069,,-82.41974905,28.0606044,-17.069,Global,0.01,0.01,0.019,0.015,2.134,m,FIX,2024-01-24 10:15:48.0 UTC-05:00,2024-01-24 10:15:53.0 UTC-05:00,6,2.2,360481.734,3104721.03,-14.399,-82.41969841,28.06053181,-14.399,9.473,WGS 84 / UTM zone 17N
L2 14,,360476.349,3104729.277,-17.091,,-82.41975417,28.06060567,-17.091,Global,0.01,0.011,0.014,0.015,2.134,m,FIX,2024-01-24 10:16:29.0 UTC-05:00,2024-01-24 10:16:34.0 UTC-05:00,6,1.9,360481.734,3104721.03,-14.399,-82.41969841,28.06053181,-14.399,9.863,WGS 84 / UTM zone 17N
L2 15,,360475.329,3104729.591,-17.112,,-82.41976459,28.0606084,-17.112,Global,0.011,0.01,0.021,0.015,2.134,m,FIX,2024-01-24 10:16:45.0 UTC-05:00,2024-01-24 10:16:50.0 UTC-05:00,6,1.9,360481.734,3104721.03,-14.399,-82.41969841,28.06053181,-14.399,10.711,WGS 84 / UTM zone 17N
L2 16,,360474.358,3104729.912,-17.145,,-82.41977451,28.06061119,-17.145,Global,0.011,0.011,0.015,0.015,2.134,m,FIX,2024-01-24 10:17:04.0 UTC-05:00,2024-01-24 10:17:09.0 UTC-05:00,6,1.9,360481.734,3104721.03,-14.399,-82.41969841,28.06053181,-14.399,11.565,WGS 84 / UTM zone 17N
L2 17,,360473.055,3104730.411,-17.113,,-82.41978781,28.06061556,-17.113,Global,0.01,0.01,0.021,0.014,2.134,m,FIX,2024-01-24 10:17:24.0 UTC-05:00,2024-01-24 10:17:29.0 UTC-05:00,6,1.9,360481.734,3104721.03,-14.399,-82.41969841,28.06053181,-14.399,12.796,WGS 84 / UTM zone 17N
L2 18,,360471.997,3104730.797,-16.999,,-82.41979862,28.06061893,-16.999,Global,0.01,0.01,0.016,0.015,2.134,m,FIX,2024-01-24 10:17:44.0 UTC-05:00,2024-01-24 10:17:49.0 UTC-05:00,6,1.9,360481.734,3104721.03,-14.399,-82.41969841,28.06053181,-14.399,13.799,WGS 84 / UTM zone 17N
L2 19,,360471.135,3104731.064,-16.911,,-82.41980742,28.06062125,-16.911,Global,0.01,0.015,0.015,0.018,2.134,m,FIX,2024-01-24 10:18:01.0 UTC-05:00,2024-01-24 10:18:06.0 UTC-05:00,6,1.9,360481.734,3104721.03,-14.399,-82.41969841,28.06053181,-14.399,14.609,WGS 84 / UTM zone 17N
L2 20,,360470.198,3104731.386,-16.749,,-82.41981699,28.06062406,-16.749,Global,0.01,0.012,0.015,0.016,2.134,m,FIX,2024-01-24 10:18:16.0 UTC-05:00,2024-01-24 10:18:21.0 UTC-05:00,6,1.9,360481.734,3104721.03,-14.399,-82.41969841,28.06053181,-14.399,15.515,WGS 84 / UTM zone 17N
L2 21,,360469.444,3104731.642,-16.657,,-82.4198247,28.06062629,-16.657,Global,0.01,0.01,0.018,0.015,2.134,m,FIX,2024-01-24 10:18:37.0 UTC-05:00,2024-01-24 10:18:42.0 UTC-05:00,6,1.9,360481.734,3104721.03,-14.399,-82.41969841,28.06053181,-14.399,16.24,WGS 84 / UTM zone 17N
L2 22,,360468.592,3104731.935,-16.589,,-82.4198334,28.06062884,-16.589,Global,0.011,0.011,0.014,0.016,2.134,m,FIX,2024-01-24 10:18:57.0 UTC-05:00,2024-01-24 10:19:02.0 UTC-05:00,6,1.9,360481.734,3104721.03,-14.399,-82.41969841,28.06053181,-14.399,17.077,WGS 84 / UTM zone 17N
0,,360475.11,3104725.57,-16.963,,-82.41976633,28.06057209,-16.963,Global,0.011,0.01,0.013,0.015,2.224,m,FIX,2024-01-24 09:18:13.0 UTC-05:00,2024-01-24 09:18:23.0 UTC-05:00,11,1.8,360481.734,3104721.03,-14.399,-82.41969841,28.06053181,-14.399,8.034,WGS 84 / UTM zone 17N
1,,360472.182,3104727.603,-16.99,,-82.41979636,28.06059013,-16.99,Global,0.01,0.01,0.013,0.015,2.224,m,FIX,2024-01-24 09:18:46.0 UTC-05:00,2024-01-24 09:18:56.0 UTC-05:00,11,1.8,360481.734,3104721.03,-14.399,-82.41969841,28.06053181,-14.399,11.598,WGS 84 / UTM zone 17N
2,,360472.106,3104731.142,-16.989,,-82.41979756,28.06062205,-16.989,Global,0.011,0.011,0.013,0.015,2.224,m,FIX,2024-01-24 09:19:26.0 UTC-05:00,2024-01-24 09:19:36.0 UTC-05:00,11,1.8,360481.734,3104721.03,-14.399,-82.41969841,28.06053181,-14.399,13.966,WGS 84 / UTM zone 17N
3,,360474.925,3104732.568,-17.192,,-82.41976905,28.06063522,-17.192,Global,0.01,0.01,0.011,0.015,2.224,m,FIX,2024-01-24 09:20:01.0 UTC-05:00,2024-01-24 09:20:11.0 UTC-05:00,11,2,360481.734,3104721.03,-14.399,-82.41969841,28.06053181,-14.399,13.407,WGS 84 / UTM zone 17N
4,,360474.766,3104729.425,-17.07,,-82.41977029,28.06060684,-17.07,Global,0.011,0.01,0.01,0.015,2.224,m,FIX,2024-01-24 09:20:35.0 UTC-05:00,2024-01-24 09:20:45.0 UTC-05:00,11,1.8,360481.734,3104721.03,-14.399,-82.41969841,28.06053181,-14.399,10.92,WGS 84 / UTM zone 17N
5,,360475.659,3104727.377,-17.001,,-82.41976097,28.06058845,-17.001,Global,0.011,0.01,0.013,0.015,2.224,m,FIX,2024-01-24 09:21:07.0 UTC-05:00,2024-01-24 09:21:17.0 UTC-05:00,11,1.8,360481.734,3104721.03,-14.399,-82.41969841,28.06053181,-14.399,8.789,WGS 84 / UTM zone 17N
6,,360477.185,3104730.181,-17.093,,-82.41974578,28.06061392,-17.093,Global,0.011,0.01,0.01,0.015,2.224,m,FIX,2024-01-24 09:21:40.0 UTC-05:00,2024-01-24 09:21:50.0 UTC-05:00,11,1.8,360481.734,3104721.03,-14.399,-82.41969841,28.06053181,-14.399,10.228,WGS 84 / UTM zone 17N
7,,360479.028,3104729.157,-16.923,,-82.41972691,28.06060487,-16.923,Global,0.013,0.012,0.011,0.018,2.224,m,FIX,2024-01-24 09:22:22.0 UTC-05:00,2024-01-24 09:22:32.0 UTC-05:00,11,1.8,360481.734,3104721.03,-14.399,-82.41969841,28.06053181,-14.399,8.574,WGS 84 / UTM zone 17N
8,,360479.154,3104725.116,-16.741,,-82.41972515,28.06056841,-16.741,Global,0.01,0.012,0.015,0.016,2.224,m,FIX,2024-01-24 09:23:01.0 UTC-05:00,2024-01-24 09:23:11.0 UTC-05:00,11,1.8,360481.734,3104721.03,-14.399,-82.41969841,28.06053181,-14.399,4.833,WGS 84 / UTM zone 17N
9,,360479.334,3104727.081,-16.834,,-82.41972355,28.06058616,-16.834,Global,0.011,0.011,0.011,0.015,2.224,m,FIX,2024-01-24 09:23:39.0 UTC-05:00,2024-01-24 09:23:49.0 UTC-05:00,11,1.8,360481.734,3104721.03,-14.399,-82.41969841,28.06053181,-14.399,6.515,WGS 84 / UTM zone 17N
